Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.0	11.319010557464818	-inf	50	0.982	0.0005	2.467162079281277e-05
2000	19.71	9.523964510643664	-inf	100	0.964	0.0005	0.0001808517509036594
3000	19.83	8.175640647680156	20.67	151	0.946	0.0005	0.0002968833181593153
4000	20.54	9.799408145393272	20.69	199	0.9279999999999999	0.0005	0.0004215409358342489
5000	20.45	12.092456326156402	21.09	248	0.91	0.0005	0.0005454050832324558
6000	22.25	13.487308849433234	22.25	288	0.892	0.0005	0.0006729903486039903
7000	25.03	15.222650886097336	25.32	326	0.874	0.0005	0.000791288349363539
8000	27.17	16.29359076446932	27.17	358	0.856	0.0005	0.0009092837572097778
9000	28.35	17.121550747522843	28.35	395	0.838	0.0005	0.0010380574729707507
10000	30.04	19.628509877216864	30.8	424	0.82	0.0005	0.001173280742433336
11000	31.81	19.465710878362493	32.66	453	0.802	0.0005	0.0013036109341515434
12000	33.84	21.86354042692994	33.84	480	0.784	0.0005	0.0014253502421908907
13000	36.85	24.99934999154978	37.76	505	0.766	0.0005	0.001556820339626736
14000	40.02	27.33970738687596	40.02	524	0.748	0.0005	0.0016909258895450169
15000	42.32	28.726252801226966	43.19	548	0.73	0.0005	0.0018253658215204875
16000	44.59	32.34566276952754	45.65	566	0.712	0.0005	0.0019539311197068958
17000	49.06	35.29839089816985	49.41	583	0.694	0.0005	0.0020965724521213105
18000	50.82	36.43689888011876	50.82	598	0.6759999999999999	0.0005	0.0022306013769573634
19000	52.46	36.64025654932018	54.53	618	0.6579999999999999	0.0005	0.002375092970000373
20000	56.34	38.50953648124058	56.65	633	0.6399999999999999	0.0005	0.0025148908959494697
21000	59.8	40.406682615626835	59.8	648	0.622	0.0005	0.002649410565694173
22000	63.03	43.76904271285813	63.44	659	0.604	0.0005	0.0027946877479553224
23000	64.7	46.52966795497256	65.9	675	0.586	0.0005	0.0029369527101516723
24000	69.76	49.27232894840673	69.76	683	0.5680000000000001	0.0005	0.0030727837483088176
25000	75.41	52.65132382001425	75.41	690	0.55	0.0005	0.003220889303419325
26000	78.94	56.436303918665686	79.68	699	0.532	0.0005	0.003366194632318285
27000	85.2	59.557535207562104	85.2	709	0.514	0.0005	0.0035174660550223455
28000	89.37	62.14348799351386	89.48	717	0.4959999999999999	0.0005	0.0036653906769222684
29000	96.9	64.92233822036911	96.9	723	0.478	0.0005	0.0038108346859614052
30000	100.02	66.18806236777144	101.03	732	0.45999999999999996	0.0005	0.003955608937475416
31000	105.54	67.83928360470797	105.54	738	0.44199999999999995	0.0005	0.004105631179279751
32000	112.58	67.46542521914466	112.58	745	0.42399999999999993	0.0005	0.004256893992424011
33000	117.62	68.10004111599345	117.62	750	0.4059999999999999	0.0005	0.004411995212237041
34000	121.27	68.67937900126937	121.27	756	0.3879999999999999	0.0005	0.004567379686567519
35000	127.02	68.55275049186574	127.02	761	0.37	0.0005	0.004717169072892931
36000	133.12	67.84073702429832	133.24	767	0.352	0.0005	0.004868201547198825
37000	140.47	65.8347104497316	140.47	772	0.33399999999999996	0.0005	0.005016513400607639
38000	145.33	64.35402939987519	145.33	777	0.31599999999999995	0.0005	0.005179109242227343
39000	150.55	64.07080068174581	150.55	782	0.29799999999999993	0.0005	0.005335317783885532
40000	153.06	64.28589580926752	153.06	787	0.2799999999999999	0.0005	0.005488992929458618
41000	156.96	63.53564668750922	156.96	792	0.262	0.0005	0.005641473134358724
42000	162.51	59.744371282992	162.51	797	0.244	0.0005	0.005808137853940328
43000	165.69	57.498990425919644	165.69	802	0.22599999999999998	0.0005	0.005969841745164659
44000	170.22	54.31971649410554	170.22	807	0.20799999999999996	0.0005	0.006133600340949164
45000	175.55	49.531479889056406	175.55	812	0.18999999999999995	0.0005	0.006299067272080315
46000	180.05	44.73843425959384	180.05	817	0.17199999999999993	0.0005	0.006455073952674866
47000	181.53	43.86763157500071	181.53	822	0.15400000000000003	0.0005	0.006625392768118117
48000	185.05	39.25999872643911	185.05	827	0.136	0.0005	0.006790132323900858
49000	189.59	32.47063134587931	189.59	832	0.118	0.0005	0.006958207223150465
50000	191.56	30.136131138551946	191.56	837	0.1	0.0005	0.007128693660100301
51000	194.7	23.800210083106407	194.7	842	0.0984	0.0005	0.0072958544227812025
52000	194.99	23.21400224002746	195.15	847	0.09680000000000001	0.0005	0.007490969300270081
53000	194.99	23.21400224002746	195.15	852	0.0952	0.0005	0.0076617103152804905
54000	196.47	17.12977232773395	196.52	858	0.0936	0.0005	0.007831623488002353
55000	197.02	16.537218629503563	197.02	863	0.092	0.0005	0.007999127308527629
56000	198.47	7.814672098047365	198.47	868	0.09040000000000001	0.0005	0.008171437051561144
57000	198.35	7.882099973991702	198.47	873	0.0888	0.0005	0.008348382711410522
58000	198.25	7.9238563843623515	198.47	878	0.0872	0.0005	0.008527823951509264
59000	198.25	7.9238563843623515	198.47	883	0.08560000000000001	0.0005	0.008698187271753947
60000	197.81	8.967379773378621	198.47	888	0.084	0.0005	0.008859103123346965
61000	197.61	9.13771853363847	198.47	893	0.0824	0.0005	0.009038634763823616
62000	197.45	9.234040285812059	198.47	898	0.08080000000000001	0.0005	0.009202195935779148
63000	197.14	9.654035425665269	198.47	903	0.0792	0.0005	0.00936884966161516
64000	196.73	10.36808082530224	198.47	909	0.0776	0.0005	0.009531264106432596
65000	196.68	10.364246234049054	198.47	914	0.07600000000000001	0.0005	0.00970263957977295
66000	196.68	10.364246234049055	198.47	919	0.07440000000000001	0.0005	0.009873948560820685
67000	196.6	10.369185117452576	198.47	924	0.0728	0.0005	0.010045589142375522
68000	196.01	10.928398784817473	198.47	929	0.07120000000000001	0.0005	0.010216808915138244
69000	196.01	10.928398784817471	198.47	934	0.06960000000000001	0.0005	0.010384471615155539
70000	195.98	10.92152004072693	198.47	939	0.068	0.0005	0.010549283292558458
71000	196.26	10.684212652320246	198.47	944	0.06640000000000001	0.0005	0.010723446210225423
72000	196.3	10.608015837092251	198.47	949	0.0648	0.0005	0.01089128037293752
73000	196.91	8.6360812872506	198.47	954	0.0632	0.0005	0.011065264344215392
74000	196.15	10.387853483756883	198.47	960	0.06160000000000001	0.0005	0.01123602184984419
75000	196.13	10.388123025840617	198.47	965	0.060000000000000005	0.0005	0.011404637429449293
