Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.122448979591837	8.67704608126386	-inf	49	0.982	0.0005	2.634863058725993e-05
2000	21.27956989247312	10.89575787175696	-inf	93	0.964	0.0005	0.0001993560128741794
3000	23.37	13.259453231562754	23.55	132	0.946	0.0005	0.00033654835489061146
4000	23.64	12.313017501814896	24.2	176	0.9279999999999999	0.0005	0.0004756077130635579
5000	24.02	13.130102817571537	25.46	215	0.91	0.0005	0.0006102834145228068
6000	25.4	13.96925194847598	25.67	252	0.892	0.0005	0.0007431128952238295
7000	23.94	12.239133956289555	26.0	296	0.874	0.0005	0.0008704900741577148
8000	23.79	11.374792305796182	26.0	335	0.856	0.0005	0.0010043415096071032
9000	27.31	17.517816644776257	27.31	364	0.838	0.0005	0.0011410379409790038
10000	29.92	18.78546246436323	29.92	396	0.82	0.0005	0.0012804918819003634
11000	32.5	20.22003956474863	32.5	425	0.802	0.0005	0.0014226715432273016
12000	35.21	23.31964622373161	35.75	451	0.784	0.0005	0.0015650704834196303
13000	35.87	24.481689075715344	35.95	477	0.766	0.0005	0.001704722245534261
14000	36.17	26.57594965377531	36.51	506	0.748	0.0005	0.001848951710595025
15000	38.47	28.897562180917614	38.47	529	0.73	0.0005	0.0019917973544862537
16000	40.27	28.82806098231374	40.69	549	0.712	0.0005	0.0021399750974443223
17000	45.27	32.50041692040273	45.27	565	0.694	0.0005	0.002289482553799947
18000	48.7	34.80158042388305	48.7	581	0.6759999999999999	0.0005	0.0024382668733596803
19000	53.08	35.08694344054495	53.08	599	0.6579999999999999	0.0005	0.0025904503795835705
20000	55.45	35.24581535445024	55.45	615	0.6399999999999999	0.0005	0.002734792629877726
21000	58.05	36.99469556571591	59.07	632	0.622	0.0005	0.002889345751868354
22000	61.9	40.07355736642306	61.9	645	0.604	0.0005	0.0030421429210238985
23000	65.23	43.47340681382125	66.12	655	0.586	0.0005	0.0032135252820120917
24000	70.46	47.824349446699216	72.0	665	0.5680000000000001	0.0005	0.0033686065011554293
25000	74.3	51.73422464867914	74.3	674	0.55	0.0005	0.0035173483027352227
26000	79.56	54.729940617544976	79.56	682	0.532	0.0005	0.0036701279216342503
27000	83.98	56.06156972472319	83.98	691	0.514	0.0005	0.0038346931007173326
28000	89.14	59.74931296676139	89.14	701	0.4959999999999999	0.0005	0.003995262384414673
29000	93.46	59.41185403604233	93.46	710	0.478	0.0005	0.004151544835832384
30000	98.63	60.39381673648388	98.63	716	0.45999999999999996	0.0005	0.004315960605939229
31000	104.62	62.1600804375284	104.62	722	0.44199999999999995	0.0005	0.004474177492989434
32000	109.86	62.22620348374148	110.2	729	0.42399999999999993	0.0005	0.004640362196498447
33000	117.16	62.26856670905474	117.16	736	0.4059999999999999	0.0005	0.004801250629954868
34000	120.62	62.47027773269461	121.27	743	0.3879999999999999	0.0005	0.004965280559327867
35000	123.66	62.6940539445329	125.19	750	0.37	0.0005	0.005130774312549167
36000	128.76	61.771372010017714	128.76	756	0.352	0.0005	0.005300047662523058
37000	131.45	62.43482601881741	131.45	762	0.33399999999999996	0.0005	0.005502903858820597
38000	138.8	60.285321596554496	138.8	767	0.31599999999999995	0.0005	0.005698755184809367
39000	143.7	58.23959134472013	143.7	772	0.29799999999999993	0.0005	0.005871288643942939
40000	144.9	58.699318565039576	144.9	777	0.2799999999999999	0.0005	0.006045193738407559
41000	147.86	58.355637259822636	148.22	784	0.262	0.0005	0.006218337019284566
42000	151.93	56.35020053203005	151.93	789	0.244	0.0005	0.0063890853855344985
43000	155.54	53.3118035710667	155.54	795	0.22599999999999998	0.0005	0.006569902896881103
44000	160.32	49.49603620493261	160.32	800	0.20799999999999996	0.0005	0.006740926702817281
45000	164.94	47.761871822616	164.94	805	0.18999999999999995	0.0005	0.006911891500155131
46000	169.34	45.223715017676284	169.34	810	0.17199999999999993	0.0005	0.0070940825674268935
47000	170.85	45.15625648788881	170.85	815	0.15400000000000003	0.0005	0.0072719385888841415
48000	171.73	45.124683932411095	171.73	821	0.136	0.0005	0.007452927165561252
49000	173.17	44.80336036504405	173.17	826	0.118	0.0005	0.007640547686152988
50000	176.65	41.29561114694878	176.65	831	0.1	0.0005	0.007825006047884624
51000	180.68	35.486019782443904	180.68	836	0.0984	0.0005	0.00801010979546441
52000	182.6	34.575135574571505	182.6	841	0.09680000000000001	0.0005	0.008198414511150784
53000	185.17	30.64247215875377	185.17	846	0.0952	0.0005	0.008380510012308757
54000	187.41	27.215471702691467	187.41	851	0.0936	0.0005	0.008563740187221103
55000	190.03	21.51253355604588	190.03	856	0.092	0.0005	0.00874817132949829
56000	190.96	21.103990144046218	190.96	861	0.09040000000000001	0.0005	0.008930588165918987
57000	191.26	21.15023404125827	191.26	866	0.0888	0.0005	0.009112844467163086
58000	191.2	21.26781606089351	191.26	871	0.0872	0.0005	0.009303709401024712
59000	191.76	20.921816364742327	191.76	876	0.08560000000000001	0.0005	0.00949128634399838
60000	192.02	20.929395595668787	192.18	882	0.084	0.0005	0.009677216410636902
