Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	22.272727272727273	10.21666116151731	-inf	44	0.982	0.0005	2.2907654444376627e-05
2000	22.337078651685392	10.87616073642719	-inf	89	0.964	0.0005	0.00019562277528974745
3000	21.34	10.761245281100138	22.15	140	0.946	0.0005	0.0003172910213470459
4000	21.69	11.141539390945939	22.34	184	0.9279999999999999	0.0005	0.0004597579108344184
5000	20.9	10.046392387319937	22.34	233	0.91	0.0005	0.0006047103802363078
6000	20.71	11.521540695584077	22.34	278	0.892	0.0005	0.0007587428225411309
7000	20.93	11.420380904330642	22.34	328	0.874	0.0005	0.000901706682311164
8000	21.85	10.80219885023415	22.34	370	0.856	0.0005	0.0010447143183814154
9000	24.09	12.496475503116868	24.09	408	0.838	0.0005	0.0011866574154959784
10000	26.21	14.197390605318994	26.21	445	0.82	0.0005	0.0013322807682885063
11000	27.67	14.667688979522302	27.85	477	0.802	0.0005	0.0015149454275767008
12000	31.38	17.83803800870488	31.4	504	0.784	0.0005	0.001683962345123291
13000	34.64	20.85738238610013	34.64	529	0.766	0.0005	0.001849788294898139
14000	38.92	23.22398759903217	39.13	551	0.748	0.0005	0.0019951983292897544
15000	41.02	26.428764632498428	41.02	572	0.73	0.0005	0.002153419123755561
16000	43.95	28.6783454892363	43.98	594	0.712	0.0005	0.0022910830709669326
17000	46.73	29.880379850329884	47.4	613	0.694	0.0005	0.0024237947993808323
18000	49.94	35.21102668199267	50.84	629	0.6759999999999999	0.0005	0.0025806481970681084
19000	53.03	40.54860170215491	53.22	644	0.6579999999999999	0.0005	0.002718685865402222
20000	56.91	41.89131055481554	56.91	661	0.6399999999999999	0.0005	0.0028668669197294445
21000	60.06	47.008258848844854	60.06	672	0.622	0.0005	0.0030216065380308365
22000	64.54	48.58279942531101	64.54	683	0.604	0.0005	0.0031645727157592774
23000	67.39	48.874920971803114	67.9	699	0.586	0.0005	0.0033049363560146757
24000	72.89	52.962230882016286	72.89	707	0.5680000000000001	0.0005	0.0034563619560665556
25000	77.62	56.40315239417031	78.02	714	0.55	0.0005	0.0036130928330951268
26000	83.51	59.369772611995074	83.51	721	0.532	0.0005	0.003810961577627394
27000	89.92	60.628983168118516	89.92	730	0.514	0.0005	0.003953961067729526
28000	92.99	59.68090062993353	94.03	739	0.4959999999999999	0.0005	0.004159535831875272
29000	97.41	60.87069820529415	97.55	747	0.478	0.0005	0.00431184987227122
30000	102.6	62.54630284836986	102.6	756	0.45999999999999996	0.0005	0.004463834298981561
31000	107.37	62.9307007747411	107.37	763	0.44199999999999995	0.0005	0.004625452293290032
32000	113.0	63.10911186191738	113.0	768	0.42399999999999993	0.0005	0.004777360094918145
33000	117.9	64.27371157790718	117.9	774	0.4059999999999999	0.0005	0.004955203135808309
