Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	23.5	15.539887233763803	-inf	42	0.982	0.0005	2.562860647837321e-05
2000	22.704545454545453	13.229752188730014	-inf	88	0.964	0.0005	0.00022224194473690457
3000	21.02	9.26280734982651	22.66	137	0.946	0.0005	0.00037664135297139483
4000	22.16	11.088480509068859	22.66	177	0.9279999999999999	0.0005	0.0005602400170432196
5000	22.01	10.87519654994796	22.66	223	0.91	0.0005	0.0007189226150512696
6000	23.84	12.472946724812063	24.82	261	0.892	0.0005	0.0008703018559349908
7000	25.91	13.82685430602348	26.19	297	0.874	0.0005	0.001008749736679925
8000	26.56	15.596999711482972	27.34	334	0.856	0.0005	0.0011479469802644518
9000	27.42	15.881549042835841	28.58	368	0.838	0.0005	0.0012860693534215292
10000	29.82	17.490786145854052	29.82	398	0.82	0.0005	0.0014405947261386448
11000	31.32	22.06711580610389	32.66	425	0.802	0.0005	0.0016402316093444824
12000	32.03	23.126372391708994	32.84	459	0.784	0.0005	0.001977573765648736
13000	34.61	25.993420321304388	34.61	484	0.766	0.0005	0.0023216654856999717
14000	35.71	26.433045605832106	35.71	508	0.748	0.0005	0.0027477556467056276
15000	39.27	27.234850834913708	39.8	527	0.73	0.0005	0.0031590691539976332
16000	43.48	30.89966990114943	43.68	549	0.712	0.0005	0.003413807219929165
17000	46.86	31.180769714681514	47.52	567	0.694	0.0005	0.003602654536565145
18000	48.76	31.640518326980672	48.95	585	0.6759999999999999	0.0005	0.0037573144833246866
19000	54.05	35.19527667173537	54.05	600	0.6579999999999999	0.0005	0.003923150830798679
20000	56.49	38.61152548138962	56.49	613	0.6399999999999999	0.0005	0.004114417764875624
21000	62.42	43.817161021681905	62.45	623	0.622	0.0005	0.004350977540016174
22000	66.35	47.51281406105094	66.35	633	0.604	0.0005	0.004528046713935004
23000	70.28	46.437071397752895	70.28	647	0.586	0.0005	0.004685298668013678
24000	72.39	48.80469137285882	75.17	661	0.5680000000000001	0.0005	0.004836894472440084
25000	78.06	52.56535360862704	78.06	670	0.55	0.0005	0.005001781251695421
26000	84.89	56.75788843852456	84.9	677	0.532	0.0005	0.005161372555626763
27000	91.46	59.64015761213245	91.65	684	0.514	0.0005	0.005321645339330037
28000	96.38	60.636586315524056	96.38	691	0.4959999999999999	0.0005	0.005477744870715671
29000	101.23	63.18557667696007	101.98	698	0.478	0.0005	0.005656249788072374
30000	107.34	63.173921834883735	107.34	706	0.45999999999999996	0.0005	0.0058160950077904595
