Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	20.604166666666668	10.736890423778302	-inf	48	0.982	0.0005	2.3346940676371256e-05
2000	20.298969072164947	9.281580193908292	-inf	97	0.964	0.0005	0.00017581661542256672
3000	20.48	9.351449085569572	20.91	144	0.946	0.0005	0.0002974037991629707
4000	20.96	9.633192617196025	21.77	193	0.9279999999999999	0.0005	0.000415614644686381
5000	21.85	9.784043131548428	22.66	234	0.91	0.0005	0.0005423800812827216
6000	21.66	10.209035213966107	22.66	282	0.892	0.0005	0.0006653835376103719
7000	20.83	9.798015105111853	22.66	331	0.874	0.0005	0.0007835134532716539
8000	23.84	13.749705451390586	23.84	363	0.856	0.0005	0.0009128924873140123
9000	27.72	17.154054914217806	27.85	392	0.838	0.0005	0.0010380097892549302
10000	32.26	19.776056229693523	32.27	421	0.82	0.0005	0.0011677947971555922
11000	32.66	21.29376434546039	34.65	455	0.802	0.0005	0.0012974433104197185
12000	33.74	23.141572980244884	34.65	481	0.784	0.0005	0.0014207634660932753
13000	34.79	26.20278420321016	34.82	506	0.766	0.0005	0.0015459498431947497
14000	37.04	27.267900542579365	37.54	528	0.748	0.0005	0.0016876650518841214
15000	40.92	28.834243530913028	40.92	548	0.73	0.0005	0.0018244251277711656
16000	44.36	29.016036945110198	44.36	571	0.712	0.0005	0.0019616770744323732
17000	46.65	29.374265948275198	47.13	590	0.694	0.0005	0.0021003986067242094
18000	47.69	30.276953281332652	48.59	610	0.6759999999999999	0.0005	0.0022476463185416326
19000	51.56	34.05387496306404	52.13	623	0.6579999999999999	0.0005	0.0023806931575139365
20000	55.77	37.29231958460079	55.77	636	0.6399999999999999	0.0005	0.0025167865885628595
21000	60.86	42.27978713286054	60.86	646	0.622	0.0005	0.0026530110173755223
22000	65.33	45.04576672674137	66.44	660	0.604	0.0005	0.002797801031006707
23000	68.33	45.495945973240296	68.36	671	0.586	0.0005	0.002936965028444926
24000	72.62	50.06671149576333	73.45	683	0.5680000000000001	0.0005	0.0030836788813273113
25000	79.33	54.01778503419036	80.56	691	0.55	0.0005	0.003223618401421441
26000	85.97	56.7518202351255	85.97	698	0.532	0.0005	0.0033670916159947713
27000	91.61	58.381143359821245	92.33	706	0.514	0.0005	0.003506965438524882
28000	98.36	59.65794498639723	98.36	711	0.4959999999999999	0.0005	0.0036562740140491062
29000	101.87	60.4404922216886	102.65	721	0.478	0.0005	0.0038067173295550875
30000	106.3	62.6245159661933	106.3	728	0.45999999999999996	0.0005	0.003960762288835314
31000	111.51	64.4322116646635	111.51	733	0.44199999999999995	0.0005	0.00410957932472229
32000	117.22	64.73941303410157	117.48	739	0.42399999999999993	0.0005	0.0042646747827529904
33000	121.69	64.45629449479702	121.81	745	0.4059999999999999	0.0005	0.00441844834221734
34000	125.55	64.92724774699757	125.55	751	0.3879999999999999	0.0005	0.004567633006307814
35000	130.04	65.5981585107387	130.04	756	0.37	0.0005	0.004715452061759101
36000	139.0	63.15568066294591	139.0	762	0.352	0.0005	0.0048699241876602175
37000	143.8	62.89721774450759	143.8	767	0.33399999999999996	0.0005	0.005032784607675341
38000	147.86	61.47146004447918	147.86	772	0.31599999999999995	0.0005	0.005188347233666314
39000	154.57	58.148990532940466	154.57	778	0.29799999999999993	0.0005	0.005349448455704583
40000	160.96	55.008166666414176	160.96	783	0.2799999999999999	0.0005	0.005506670806143019
41000	162.4	55.37833511401368	162.4	788	0.262	0.0005	0.0056617516941494415
42000	164.49	53.48485673534146	164.84	794	0.244	0.0005	0.005812174611621433
43000	167.25	52.37392003659837	167.25	799	0.22599999999999998	0.0005	0.005972418520185683
44000	170.52	49.77478879915011	170.52	804	0.20799999999999996	0.0005	0.0061374157004886205
45000	172.94	48.76675506941178	172.94	809	0.18999999999999995	0.0005	0.006298490166664124
46000	174.83	48.174901141569556	174.94	815	0.17199999999999993	0.0005	0.006460805535316467
47000	179.76	43.08088207082116	179.76	820	0.15400000000000003	0.0005	0.006624745196766323
48000	183.49	36.420459909232335	183.49	825	0.136	0.0005	0.006795245475239224
49000	185.05	34.731649831241825	185.05	830	0.118	0.0005	0.0069583506054348414
50000	182.67	35.394082838802305	185.05	837	0.1	0.0005	0.007117578917079502
51000	182.03	34.72706581328172	185.05	843	0.0984	0.0005	0.007296255164676242
52000	182.82	31.444357204433352	185.05	849	0.09680000000000001	0.0005	0.007456162373224894
53000	182.13	28.353008658694407	185.05	855	0.0952	0.0005	0.00762004209889306
54000	181.16	28.516914279073045	185.05	861	0.0936	0.0005	0.007795780102411906
55000	179.39	28.385522718456322	185.05	867	0.092	0.0005	0.007957251800431145
56000	178.83	25.189702261043102	185.05	873	0.09040000000000001	0.0005	0.00812572373284234
57000	176.01	25.745094678404275	185.05	880	0.0888	0.0005	0.00829356054464976
58000	175.4	23.52828085517512	185.05	886	0.0872	0.0005	0.0084666594531801
59000	174.37	23.387883615239748	185.05	891	0.08560000000000001	0.0005	0.00864162842432658
60000	171.45	27.414731441325483	185.05	899	0.084	0.0005	0.008802643484539456
61000	170.46	27.444642464422813	185.05	904	0.0824	0.0005	0.008980589972601996
62000	165.58	31.168631667110446	185.05	912	0.08080000000000001	0.0005	0.009149805506070455
63000	156.41	39.505213579982076	185.05	922	0.0792	0.0005	0.009321287671724954
64000	154.38	38.59372487853434	185.05	928	0.0776	0.0005	0.009500133991241454
65000	148.1	46.07634968180531	185.05	938	0.07600000000000001	0.0005	0.009661393960316976
66000	148.66	46.464872753511344	185.05	944	0.07440000000000001	0.0005	0.009833906690279642
67000	149.17	46.79360105826436	185.05	950	0.0728	0.0005	0.010007875230577256
68000	140.78	56.73228005289404	185.05	961	0.07120000000000001	0.0005	0.010171844561894735
69000	133.29	61.52240161112048	185.05	971	0.06960000000000001	0.0005	0.010339600245157878
70000	122.32	66.41233018047177	185.05	984	0.068	0.0005	0.010510444177521599
71000	117.39	65.83097978915399	185.05	994	0.06640000000000001	0.0005	0.010678039126925998
72000	97.13	70.7179828615042	185.05	1014	0.0648	0.0005	0.010853263205952115
73000	87.1	72.55983737578248	185.05	1031	0.0632	0.0005	0.011015316976441277
74000	45.45	55.161648815096164	185.05	1076	0.06160000000000001	0.0005	0.011184442308213976
75000	24.44	35.17024879070377	185.05	1118	0.060000000000000005	0.0005	0.01134618255827162
76000	26.01	33.948341638436474	185.05	1153	0.0584	0.0005	0.011516722838083903
77000	30.29	38.14427742139049	185.05	1172	0.0568	0.0005	0.011689042184087966
78000	39.09	49.4473649449594	185.05	1178	0.0552	0.0005	0.01186517337958018
79000	47.03	54.85644082512098	185.05	1188	0.05360000000000001	0.0005	0.01203751179907057
80000	53.76	58.69465393031976	185.05	1196	0.052000000000000005	0.0005	0.012220252619849312
81000	62.25	60.6502061002269	185.05	1213	0.05040000000000001	0.0005	0.012385024097230699
82000	63.32	61.250776321610815	185.05	1241	0.0488	0.0005	0.012557691269450718
83000	68.43	61.454740256549776	185.05	1257	0.0472	0.0005	0.012724565400017632
84000	72.46	63.64643273585724	185.05	1267	0.0456	0.0005	0.012911221120092603
85000	78.99	67.59474757701221	185.05	1272	0.04400000000000001	0.0005	0.013096147179603577
86000	79.54	67.97623408221435	185.05	1278	0.04240000000000001	0.0005	0.013277231057484944
87000	81.92	67.74476806366674	185.05	1285	0.0408	0.0005	0.01344666408167945
88000	86.07	67.7346668996017	185.05	1292	0.039200000000000006	0.0005	0.013619205156962078
89000	88.21	66.85496167076906	185.05	1299	0.0376	0.0005	0.01379724833700392
90000	91.74	65.60436265981097	185.05	1310	0.036000000000000004	0.0005	0.013965235617425707
