Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
1000	23.232558139534884	13.807374519811532	-inf	43	0.982	0.0005	2.2586385409037272e-05
2000	22.848837209302324	15.605244677306901	-inf	86	0.964	0.0005	0.00017558289898766412
3000	20.51	13.597422549880548	22.59	141	0.946	0.0005	0.0002927459610833062
4000	20.48	12.011228080425415	22.59	185	0.9279999999999999	0.0005	0.0004205146763059828
5000	22.37	13.569565210425866	22.59	228	0.91	0.0005	0.0005464184946484036
6000	25.64	15.57916557457427	25.7	259	0.892	0.0005	0.0006749186250898573
7000	26.76	16.172890898042933	26.9	298	0.874	0.0005	0.0008034706777996487
8000	28.23	16.890740066675583	28.7	335	0.856	0.0005	0.0009273492627673679
9000	28.1	17.800842676682475	29.73	366	0.838	0.0005	0.0010587178998523288
10000	31.4	18.240614024752567	31.99	393	0.82	0.0005	0.0011768323183059693
11000	34.27	20.561544202710067	34.31	419	0.802	0.0005	0.001299590269724528
12000	37.23	24.114250973231577	37.98	439	0.784	0.0005	0.0014245023330052694
13000	40.34	26.166092562704122	40.34	463	0.766	0.0005	0.0015549105405807495
14000	41.58	27.618175175054557	41.82	488	0.748	0.0005	0.0016767520374721952
15000	45.05	32.26588755946441	45.05	504	0.73	0.0005	0.0018060834540261162
16000	48.19	35.654086722281924	48.59	524	0.712	0.0005	0.0019342517190509372
17000	49.89	37.67675543355611	49.89	540	0.694	0.0005	0.0020696669816970825
18000	51.27	39.56181365913348	52.4	562	0.6759999999999999	0.0005	0.002206178241305881
19000	54.14	42.904316799128736	54.14	577	0.6579999999999999	0.0005	0.0023472701178656684
20000	60.41	46.96447487197104	60.41	585	0.6399999999999999	0.0005	0.0024848679039213392
21000	62.66	46.15153735250863	63.23	599	0.622	0.0005	0.002626764178276062
22000	65.89	46.81044648366431	65.9	614	0.604	0.0005	0.0027670041720072426
23000	69.29	49.6177982179782	69.29	623	0.586	0.0005	0.0029078906774520873
24000	75.13	54.59261030579139	75.13	629	0.5680000000000001	0.0005	0.0030527036719852022
25000	79.34	55.14493993105804	79.4	641	0.55	0.0005	0.003184060454368591
26000	83.78	58.3805755367314	83.78	648	0.532	0.0005	0.003332957559161716
27000	91.54	61.38329088603837	91.54	656	0.514	0.0005	0.0034836857848697237
28000	98.59	59.55788696721871	98.59	665	0.4959999999999999	0.0005	0.003631021247969733
29000	104.42	61.611391803789004	105.27	672	0.478	0.0005	0.0037853470775816174
30000	106.25	62.056002932834794	106.37	678	0.45999999999999996	0.0005	0.003935392366515265
31000	110.62	63.83287240912789	110.62	684	0.44199999999999995	0.0005	0.0040877962774700585
32000	114.13	65.6890637777705	114.13	690	0.42399999999999993	0.0005	0.004236372378137377
33000	122.48	66.15791411463937	122.48	697	0.4059999999999999	0.0005	0.004390144017007616
34000	126.35	66.10905762450408	126.35	702	0.3879999999999999	0.0005	0.004538005126847162
35000	132.79	65.41380511788013	132.79	708	0.37	0.0005	0.004689950876765781
36000	139.09	64.11756311651278	139.09	713	0.352	0.0005	0.004843653308020697
37000	144.46	62.58808512808169	144.86	719	0.33399999999999996	0.0005	0.004999804761674669
38000	148.21	62.05486201741166	148.21	725	0.31599999999999995	0.0005	0.00516618635919359
39000	149.5	62.170008846710004	149.5	730	0.29799999999999993	0.0005	0.005327756471104092
40000	157.28	57.924274704134184	157.28	735	0.2799999999999999	0.0005	0.005487063924471537
41000	161.46	56.69963315577975	161.46	740	0.262	0.0005	0.005639680292871263
42000	166.01	54.16133214757554	166.01	745	0.244	0.0005	0.005797386897934808
43000	168.68	53.151270916131445	168.68	750	0.22599999999999998	0.0005	0.005984237591425578
